Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2013-01-25 7:40,60.3N,64.6W,,,,,,3.40E+12,6.9
2013-01-12 3:04,15.1S,155.6W,36.1,,,,,4.80E+10,0.16
2012-12-30 7:25,17.3N,83.6W,,,,,,1.98E+11,0.55
2012-12-18 11:19,,,,,,,,2.70E+10,0.095
2012-11-20 20:37,2.5N,29.6E,33.3,14.3,-12.2,-5.3,5.3,2.50E+10,0.089
2012-11-20 6:25,8.0S,86.0W,,,,,,1.20E+11,0.36
2012-10-25 15:57,,,,,,,,3.00E+10,0.1
2012-10-19 16:26,75.4S,49.6E,29.3,13.2,-2.3,-3.9,12.4,2.30E+10,0.082
2012-10-09 0:54,51.2N,84.6W,27.8,13.5,3.4,12,5.1,2.10E+11,0.58
2012-10-03 22:50,41.5S,21.9W,,17,-2.4,5.5,15.9,2.80E+11,0.75
2012-10-02 16:38,8.1S,111.9W,35,15.4,1.4,15.3,1,4.70E+11,1.2
2012-09-28 5:44,6.9S,73.7E,,,,,,3.80E+10,0.13
2012-09-18 19:34,1.2N,52.2W,28.1,18.3,-1.9,14.1,-11.5,2.44E+11,0.67
2012-09-11 22:07,18.9S,105.2E,,,,,,5.20E+10,0.17
2012-09-10 1:03,69.8S,111.7W,23.8,16.9,-10.2,-5.2,12.4,2.30E+10,0.082
2012-08-27 6:57,18.3S,64.2E,38.7,28.9,-8,-23.7,-14.5,6.80E+10,0.22
2012-08-26 14:55,11.8N,117.0E,36,12.7,5,-11.6,-0.7,2.49E+11,0.68
2012-08-13 5:31,,,,,,,,3.30E+10,0.11
2012-07-27 4:19,63.1N,172.3E,27.2,,,,,3.40E+10,0.12
2012-07-25 7:48,36.4N,41.5E,26.8,18.5,0.8,2,-18.4,1.33E+11,0.39
2012-06-05 7:44,,,,,,,,2.40E+10,0.086
2012-05-25 11:31,41.8S,36.2W,,,,,,6.00E+10,0.19
2012-05-22 8:31,,,,,,,,2.11E+11,0.59
2012-05-15 11:04,61.8S,135.5W,33.3,17.1,-0.8,1.1,17,1.32E+11,0.39
